formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Microelectronique Et Automatique (MEA),Tous est la. Je ne pense pas qu'il manque des choses indispenssables...
Sciences et Technologies de l'Eau (STE),legislation environnementale
Microelectronique Et Automatique (MEA),Management et gestion de projet (budget planning redaction Cahiers des charges...)
Informatique et Gestion (IG),Ce qui me semble primordial tout ce qui a trait a la psychologie et a l'humain:  - Intelligence emotionnelle (tres difficile dans nos societe a trouver mais surement le plus important DANS UNE VIE)  - Communication  - Apprendre a aborder les problemes prendre du recul considerer les avis savoir valoriser...  - Aussi plus de competences manageriale au travers de vrai mise en situation. (Dans mes souvenir les cours de com etaient assez interessant tant dans le contenu que dans la mise en situation)   Parmi ce que j'ai appris je dirai que ce qui compte et me servira le plus qui me permet d'aborder l'avenir sereinement c'est une bonne comprehension de moi meme et par consequent des autres et de mon environnement. Cela m'a permis de devenir plus optimiste d'avoir de meilleur relation que ce soit dans l'entreprise avec mes collegues clients superieur et meme dans le couple. C'est pour une des clef de la reussite donc si l'ecole pouvait aider les gens a apprendre a mieux de connaitre cela peut paraitre utopiste mais je suis convaincu que ce sera le role de l'ecole de demain. Cela se fait beaucoup sous forme de conference dans les grandes entreprises et certaines grandes ecoles.  Certains points ont surement ete traites j'ai la memoire courte :)
Materiaux (MAT),Semi-conducteur (formation MAT effectuee en spe mecanique)
Genie Biologique et Agroalimentaires (GBA),Cours de mecanique generale et de dessins industriels pour les personnes souhaitant evoluer en production
Informatique et Gestion (IG),Reseaux (plus pousse) Systeme (plus pousse) Theorie des ensemble architectures diverses (software/hardware)
Mecanique et Interactions (MI),-
Microelectronique Et Automatique (MEA), 
Genie Biologique et Agroalimentaires (GBA),Process industriel (circuit/pompe/moteur etc..) 
Materiaux (MAT),Electrochimie 
Materiaux (MAT),Excel
Materiaux (MAT),.
Mecanique Structures Industrielles (MSI - apprentissage),/
Eau et Genie Civil (EGC - apprentissage),Management approfondi
Genie Biologique et Agroalimentaires (GBA),Management
Mecanique et Interactions (MI),-
Sciences et Technologies de l'Eau (STE),Pratique.  Par exemple lorsque l'on parle a des exploitants on se rend compte qu'on ne connait que la theorie. 
Sciences et Technologies de l'Eau (STE),Plus de projet 'type' bureau d'etude
Genie Biologique et Agroalimentaires (GBA),Aucun je pense 
Microelectronique Et Automatique (MEA),Enseignements sur l'industrie spatiale entre autres
Microelectronique Et Automatique (MEA),Tout ce qui est systeme embarque sous linux 
Eau et Genie Civil (EGC - apprentissage),Approfondissements des logiciels usuellement utilises en entreprise
Sciences et Technologies de l'Eau (STE),Ne se prononce pas
Informatique et Gestion (IG),Avoir un vrai module Devops car un intervenant qui vient 3 sessions n'est pas assez. Beaucoup plus incite les groupes de projets a se repartir les roles correctement. En pratique il y a toujours 1 ou 2 etudiants qui font 80% du travail sans deleguer correctement. C'est dommage car quand on vise des postes a responsabilites ce genre de qualite est vital.
Eau et Genie Civil (EGC - apprentissage),x
Microelectronique Et Automatique (MEA),robot parallel
Genie Biologique et Agroalimentaires (GBA),Cours de VBA / macro Construction d'un systeme de management de la qualite (peut-etre aborde en cinquieme annee ? je n'etais pas presente)
Sciences et Technologies de l'Eau (STE),Connaissance RSE
Informatique et Gestion (IG),Devops
Sciences et Technologies de l'Eau (STE),X
Mecanique et Interactions (MI),Je ne sais pas
Mecanique et Interactions (MI),D'autres matieres relevant du management agile en entreprise. En effet la plupart des etudiants finiront cadre a manager des equipes donc il va devenir de plus en plus important d'avoir ce genre de matieres.
Eau et Genie Civil (EGC - apprentissage),- Comptabilite  
Informatique et Gestion (IG),Sport
Sciences et Technologies de l'Eau (STE),Des competences logiciel et genie civil (type autocar covadis) 
Materiaux (MAT),J'aurais aime avoir une spe ou une initiation aux biomedical & materiaux bio compatibles. Mais grace au stage de fin d'etude & a ma motivation j'apprends au fur et a mesure.
Sciences et Technologies de l'Eau (STE),GEOTECHNIQUE (^^) : Mettre un cours sur la geotechnique serait un vrai plus pour la formation. Meme si les STE ne sont pas des EGC ce serait tres interessant et permettrait d'avoir un peu plus de connaissances transversales.  Des cours sur les digues et barrages auraient egalement ete un gros plus mais j'imagine que cela est plus reserve aux EGC. 
Sciences et Technologies de l'Eau (STE),Python
Sciences et Technologies de l'Eau (STE),VRD - bases dans l'utilisation de logiciel comme AutoCAD
Sciences et Technologies de l'Eau (STE),Initiation a la maitrise d'oeuvre
Microelectronique Et Automatique (MEA),Je ne vois pas 
Informatique et Gestion (IG),Des enseignements qui pousseraient les eleves a s'enfoncer dans des projets qui servent l'interet general et non le porte-monnaie. Lorsque l'on parle de monter sa start-up a l'ecole l'aspect qui en ressort au niveau des eleves du moins en informatique est de faire une application qui pourrait apporter de l'argent. Les problematiques qui peuvent etre ciblees ne sont donc pas des elements qui feraient aller la societe de l'avant. C'est dommage de ne pas pousser les eleves a travailler sur les problematiques actuelles de notre monde notamment l'ecologie. On est beaucoup base sur les technologies le progres technique etc... beaucoup plus sur la notion financiere du travail que ce que l'on peut apporter a la societe a partir des outils qui nous sont mis en mains a l'ecole. Apres je comprends aussi que la reputation de l'ecole depend de plusieurs criteres qui font qu'il y a des freins a ce changement.
Sciences et Technologies de l'Eau (STE),Autocad suivi de chantiers 
Materiaux (MAT),Je ne sais pas du tout. 
Systemes Embarques (SE - apprentissage),Communication
Mecanique Structures Industrielles (MSI - apprentissage),Cours de management 
Eau et Genie Civil (EGC - apprentissage),Des enseignements sur le commerce et le financier
Eau et Genie Civil (EGC - apprentissage),Avoir des cours de developpement personnel tel que du coaching pour savoir comment definir des buts/objectifs et les atteindre.   Je pense que cela serait interessant de savoir comment faire face a la pression au travail savoir comment trouver son bonheur en entreprise. Car au final l'ecole nous donne la technique et le recul necessaire sur nos activites mais le bien etre serait interessant d'etre developper. Nous sommes plus que de simple outils pour les entreprises.
Genie Biologique et Agroalimentaires (GBA),Possiblement davantage d'enseignements lies au Genie Biologique de maniere generale (pharma dispositif medicaux etc.).
Sciences et Technologies de l'Eau (STE),Une introduction en options aux metiers de la fonction publiques serait un plus.
Sciences et Technologies de l'Eau (STE),Genie civil Maitrise d'&oeliguvre 
Informatique et Gestion (IG),On peut considerer la partie devops absente. ca manque reellement pour prendre confiance et evoluer rapidement dans une grosse structure 
Mecanique et Interactions (MI),Programmation Conception mecanique approfondie Robotique
Microelectronique Et Automatique (MEA),Methode Agile Git Cycle en V
Genie Biologique et Agroalimentaires (GBA),Cours specifiques aux cosmetiques 
Microelectronique Et Automatique (MEA),Machine et deep learning python 
Eau et Genie Civil (EGC - apprentissage),RAS
Genie Biologique et Agroalimentaires (GBA),Economie des industries agroalimentaires et biologiques  Enjeux environnementaux 
Mecanique et Interactions (MI),Meme reponse
Systemes Embarques (SE - apprentissage),Comme dit plus haut les outils type couteau suisse VBA seraient bien utiles
Eau et Genie Civil (EGC - apprentissage),La redaction de cahier des charges Comment bien externaliser une mission  La base de l'ecoconception et de visite de chantier ecoconcu ( revalorisation des dechets base travaux eco ... ) 
Eau et Genie Civil (EGC - apprentissage),Gestion des contrats  Droit international
Sciences et Technologies de l'Eau (STE),Des cours de DAO (AutoCad etc) 
Sciences et Technologies de l'Eau (STE),Je n'ai pas eu la possibilite d'avoir des cours de SIG durant mon echange universitaire (faire en sorte de les enseigner avec un bon nombre d'heures et suffisamment tot durant la formation). 
Genie Biologique et Agroalimentaires (GBA),Gestion de production gestion de stocks
Microelectronique Et Automatique (MEA),La gestion de projet les competences transversales (marketing commercial financier etc.)
Mecanique Structures Industrielles (MSI - apprentissage),Transfert thermique car a peine survole.
Microelectronique Et Automatique (MEA),un formation sur le reseau social LinkedIn plus approfondi afin d'aider notre recherche d'emploi 
Materiaux (MAT),Cours de tribologie peut-etre 
Materiaux (MAT),Fonctionnement d'une station d'epuration J'ai fait une reconversion professionnelle
Materiaux (MAT),Catalyse et beaucoup plus d'activites pratiques. Mes connaissances en laboratoire se sont faites lors de mes stages principalement pas lors des TP de polytech. 
Microelectronique Et Automatique (MEA),L'environnement Linux et tout ce qui est script (shell python etc).
Informatique et Gestion (IG),Toute la partie OPS avec Docker les principes d'une bonne CI/CD apprendre le refacto (Ou reprendre du code 'sale') apprendre a vraiment bosser en equipe plutot que de nous mettre en equipe et puis Carpe Diem
Genie Biologique et Agroalimentaires (GBA),Les cours de mises en situation en entreprise de presentation sur LinkedIn comment se vendre
Systemes Embarques (SE - apprentissage),'Systeme embarque' cela sous-entend du sans fil. Pourquoi ne pas ajouter un module sur les accumulateurs lithium-ion /lipo / etc... ?  ca me semble incontournable dans le metier de 'l'embarque'
Mecanique et Interactions (MI),Efficience bureautique Projet robotique applique (pas que du matlab) Connaitre les codes de calcul utilises en industrie. Enseigner le calcul/simulation en genie civil Cours basique sur le beton
Systemes Embarques (SE - apprentissage),j'aurais aime avoir des cours dedies aux objets connectes / IoT (reseau LoRa LTE-M BLE SIGFOX etc ...). Je sais que c'est un sujet vaste qui integre autant des notions reseau RF programmation embarque CAO avec des nouvelles contraintes ... mais il s'agit d'un domaine qui s'est beaucoup developpe ces dernieres annees et qui peut etre interessant.
Informatique et Gestion (IG),Notre formation couvre tout ce dont on a besoin et plus.
Sciences et Technologies de l'Eau (STE),des bases de GC
Materiaux (MAT),Economie circulaire
Materiaux (MAT),Je n'en vois pas la formation m'a semble tres complete.
Microelectronique Et Automatique (MEA),En general: le VBA pythonun TP GIT pour maitriser globalement comment y mettre du code et les commandes de bases l'utilisation de Linux que plutot que Windows En 5A pour les cours  decouverte  Une introduction a la qualite une ouverture sur les materiaux ou du technique industriel. Sinon initiation a un nouveau langage. 
Genie Biologique et Agroalimentaires (GBA),- Le financement de l'innovation - la conception de packaging avec des logiciels appropries
Sciences et Technologies de l'Eau (STE),Cours sur les regles urbanistiques a prendre en compte lors de la realisation d'etudes hydrauliques et sur la conception/realisation de travaux lies a l'hydraulique 
Genie Biologique et Agroalimentaires (GBA),Approfondir la gestion de projets 
Sciences et Technologies de l'Eau (STE),Genie civil renforce  Cours detailles sur les marches publics Cours de logiciels de dessin (AutoCad Mensura)   
Genie Biologique et Agroalimentaires (GBA),Finances et compta
Sciences et Technologies de l'Eau (STE),Pour ma part j'aurais bien aime avoir plus de connaissances sur comment traiter l'eau de maniere naturelle avec les plantes etc avoir des etudes de cas sur ce sujet dimensionner des exploitations avec traitement par les roseaux par exemple ou savoir quel type de plante utilise suivant les types de pollution de l'eau. Aussi une partie sur les toilettes seches.  Egalement plus de connaissance sur l'eau d'irrigation et pas seulement eau potable et eaux usees. 
