formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Microelectronique Et Automatique (MEA),2019,Cela n'a pas ete facile au vue de la zone geographique dans laquelle je cherchais du travail.
Eau et Genie Civil (EGC - apprentissage),2018,Cela reprend un peu les conseils ci-dessus mais j'ai eu beaucoup de mal a trouver un job de conducteur de travaux en sortant des etudes car malgre mon alternance de 3 ans en tant qu'assistant maitre d'ouvrage ... l'experience du chantier manquait.  Les recruteurs hesitaient vis a vis de ma capacite a gerer une ou plusieurs equipes d'ouvriers qui souvent ont un certains age et des facons de faire techniquement parlant bien specifiques.  J'ai donc du passer par 4 mois d'interim dans une entreprise de gros oeuvre (branche du btp qui ne m'interesse pas mais dans laquelle les equipes sont diverses et de plus grande envergure que dans le VRD et la pose de reseaux) afin d'acquerir une experience dans le management.  L'entree dans une entreprise de l'ampleur de VINCI Construction a ete egalement un plus pour mon insertion. L'experience attendue pour l'embauche est moins importante que dans une PME.
Informatique et Gestion (IG),2020,Cela s'est bien passe malgre le contexte
Sciences et Technologies de l'Eau (STE),2020,Certaines ecoles gerent bien mieux l aide a l insertion professionnelle et a la recherche de stage j' ai pu lors de mon parcours utilise des documents produits par polytech Chambery pour trouver entre autre mon stage de 4eme annee. De plus l insertion professionnelle en ste pour l etranger devrait etre porteuse chose qui n'est pas facilite par l'ecole.
Materiaux (MAT),2020,Cette annee a ete tres difficile. Suspension de stage de fin d'etudes reports des echeances etc Le consulting n'etait pas mon choix de carriere de base et je souhaite pas que ca le soit mais l'opportunite s'est presentee. Un CDI avec des avantages et des inconvenients. Vu le marche de l'emploi et la difficulte a se mettre en avant en tant que junior dans une telle periode m'a fait saisir cette opportunite. En seulement qlqs mois j'ai deja beaucoup appris & ca m'aide a avoir confiance pour la suite. Le consulting est un bon tremplin de carriere. On verra ou ca me mene
Sciences et Technologies de l'Eau (STE),2019,Cf reponse ci-dessus. En conclusion montrez que vous etes tres motive et interesse pendant votre stage. C'est normal de ne pas savoir ou de ne pas avoir telle ou telle connaissance c'est la qu'il faut etre proactif et ne pas hesitez a demander.  Quand bien meme vous n'etes pas embauche a minima vous aurez une lettre de recommandation et ca pese dans recrutement.
Sciences et Technologies de l'Eau (STE),2020,Choisir un stage dans le bon domaine et pas aleatoirement 
Sciences et Technologies de l'Eau (STE),2020,Choix d'une reprise de formation en paysagisme apres le stage de fin d'etudes : sans succes.  Decision de chercher un poste dans le traitement/ potabilisation  hydrologie  methanisation pour un premier emploi : sans succes pour le moment.  Toujours en recherche d'emploi en ile-de-France et autour de Montpellier. 
Sciences et Technologies de l'Eau (STE),2018,Comme dit precedemment je n'ai pas fait les enseignements de STE5 car j'etais en double diplome mais il m'a manque des connaissances sur les legislations en France et les marches publics
Sciences et Technologies de l'Eau (STE),2019,Commentaires similaires aux conseils donnes sur la question precedente. 
Microelectronique Et Automatique (MEA),2019,Cool
Microelectronique Et Automatique (MEA),2020,Covid 
Informatique et Gestion (IG),2018,Dans le monde de l'informatique il y a beaucoup d'offres d'emplois beaucoup de chasseurs de tete. Il ne faut pas avoir peur de demander aux recruteurs et a sa boite ce que l'on veut reellement. Sinon si la situation ne vous convient pas il y a generalement (suivant la region) assez d'offres pour rebondir ailleurs.
Genie Biologique et Agroalimentaires (GBA),2019,Decrocher une alternance pour la 4eme annee aurait beaucoup aide. J'ai ete sans emploi et sans chomage puisque ancienne etudiante pendant 10 mois. J'ai beaucoup revu mes ambitions a la baisse pour esperer trouver un emploi alimentaire et encore la je n'ai pas trouve.  La realite c'est que les postes disponibles pour de jeunes diplomes en production sont souvent des postes de chefs d'equipe postes en 3x8 sur ligne de conditionnement payes 1800&euro brut. Et encore la ils estiment que nous manquons d'experience technique et manageriale (et c'est vrai). Il faudrait davantage alerter les etudiants sur cette realite car c'est ce qui les attend. Dans de rares cas des postes de responsables sont envisageables mais a des salaires derisoires et quasiment tout est a apprendre. Et la credibilite aupres des equipes est quasiment nulle. J'ai eu beaucoup de chances qu'un concours de circonstance pousse mon entreprise de stage a me rappeler puis a prolonger mon cdd 2 fois. Neanmoins ils n'ont pas de poste durable de libre donc je suis repartie pour une recherche compliquee avec a peine 1 an d'experience en pleine periode de Covid.  Je note aussi qu'il est tres difficile de trouver un poste en agroalimentaire autrement qu'en qualite en tant que debutant. Il serait donc judicieux de faire plus de cours de qualite dans les autres specialites. J'aurais egalement aime avoir des cours plus approfondis sur l'orientation en 4eme annee  : les differents postes qui s'ouvrent a nous en quoi ils consistent principalement dans la realite ... 
Informatique et Gestion (IG),2019,Difficulte a comprendre et communiquer avec le business.
Sciences et Technologies de l'Eau (STE),2018,Difficulte a trouver un premier emploi peu d'offres en genie des procedes. Plus d'offres en hydraulique.
Materiaux (MAT),2020,Elle est chaotique mais je suppose et espere ne pas etre le seul dans ce cas vu la crise que le monde traverse en ce moment...
Systemes Embarques (SE - apprentissage),2018,Elle n'a pas ete difficile etant donne que je suis restee dans la meme entreprise. Le diplome d'ingenieur ouvre plus de portes qu'on le croit. Il ne faut pas se sentir oblige de rester dans l'electronique pure et dure
Mecanique Structures Industrielles (MSI - apprentissage),2020,Embauche dans l'entreprise dans lequel j'ai fais mon alternance
Genie Biologique et Agroalimentaires (GBA),2019,En comparaison entre la faculte de pharmacie et Polytech je n'ai rien a redire sur les enseignements de Polytech c'est une ecole qui m'a formee au mieux pour mon experience professionnelle aussi courte fut elle avant de continuer mes etudes. Je recommande cette ecole a 100% 
Eau et Genie Civil (EGC - apprentissage),2020,En douceur grace a 3 ans d'apprentissage au sein de la meme entreprise.  Il n'y a pas eu de  marche  entre mon alternance et mon cdi 
Eau et Genie Civil (EGC - apprentissage),2020,En restant dans l'entreprise de l'apprentissage il n'y a pas eut de difficultes meme si je suis detache maintenant au Royaume-Uni. (Je ne sais pas ou le mettre mais merci a toute l'equipe pedagogique pour ces annees :) )
Genie Biologique et Agroalimentaires (GBA),2018,En sortie d'ecole je souhaitais travailler dans le secteur de la qualite appliquee au domaine medical ses toutefois avoir une idee precise du service qualite. J'ai donc tatonne et essaye plusieurs services : Qualite Operationnelle Systeme de Management de la Qualite et Post Market Surveillance ce dernier etant mon service actuel et celui dans lequel je souhaite poursuivre mon projet professionnel. J'ai egalement experimente un groupe international (Zimmer Biomet) et une PME (Global D) ce qui m'a permis de comparer les deux et de choisir a terme le groupe  international avec davantage de moyens de possibilite de communiquer en anglais et de bonnes pratiques mises en place. 
Sciences et Technologies de l'Eau (STE),2019,En tant que telle la formation donne surtout du vocabulaire et un titre d'ingenieur mais le gros des apprentissages dependent du stage de fin d'etudes.
Systemes Embarques (SE - apprentissage),2018,Encore une fois merci pour votre aide et votre comprehension/ souplesse d'esprit qui m'ont permis de m'epanouir pendant mes etudes (sport de haut niveau en parallele) et de concretiser mon projet pro (arrangements de l'emploi du temps pour participer au debut des cours a l'IAE avant la fin de ma 5A a Polytech) Avec une mention speciale pour Karen et Eric :) 
Sciences et Technologies de l'Eau (STE),2019,Encourager les contrats de professionnalisation qui sont de bons tremplins vers l'emploi
Informatique et Gestion (IG),2020,Etant donne le contexte actuel j'ai eu de la chance de finir dans la boite qui m'a pris en stage et le teletravail que j'apprehendais s'est tres bien passe ! Courage ! <3 L'informatique est un domaine bien moins impacte nous sommes chanceux ! 
Mecanique et Interactions (MI),2020,Etant donne que j'ai ete pris en CDD dans l'entreprise ou j'ai fait mon stage de fin d'etudes. Je n'ai pas eu de difficultes quant a mon insertion professionnelle pour le moment. a voir a la fin de mon CDD.
Microelectronique Et Automatique (MEA),2020,etre trilingue m'a beaucoup aide.
Informatique et Gestion (IG),2018,Facile
Genie Biologique et Agroalimentaires (GBA),2020,Facile pour moi car je suis restee dans la meme entreprise que mon contrat pro 
Microelectronique Et Automatique (MEA),2018,Facile beaucoup de recrutement dans le milieu de la cyber securite 
Mecanique et Interactions (MI),2018,Favorisee par le fait que cela se deroule comme une prolongation de la formation Polytech (these au LMGC enseignement en MI et MAT...)
Systemes Embarques (SE - apprentissage),2019,Globalement la formation a bien colle avec mes projets en entreprise. Il y avait quelques defauts certes mais plusieurs choses m'ont servi une fois en entreprise et inversement. De plus on me proposait de rester mais la localisation de l'entreprise me posait probleme vis a vis de ma famille. J'ai eu des projets de plus en plus importants au fil des annees et mon insertion aurait ete toute tracee. 
Eau et Genie Civil (EGC - apprentissage),2020,Grace a l'apprentissage mon insertion professionnelle a ete tres aise. 
Materiaux (MAT),2018,Grace a mon stage de 4A a Total et aux rencontres que j'ai faites durant ce dernier j'ai pu trouver mon stage de 5A chez Hutchinson. Par ces experieces au sein du groupe Total ma candidature pour un VIE de 2 ans chez Total a ete appuyees par mes anciens collegues. Malheureusement a cause du covid ils n'ont pas pu me proposer un poste au bout de ces 2 ans.  Durant mes stages j'ai eu l'occasion de travailler avec des nanotubes de carbones et durant mon VIE j'ai travaille en tant que technico pour le departement automotive. Ces experiences m'ont permise d'obtenir ce poste de technico que j'exerce actuellement dans mon entreprise. => Les stages + reseaux crees durant ces derniers ont ete essentiels
Genie Biologique et Agroalimentaires (GBA),2020,Grosses difficultes liees au Covid  La formation initiale n'est pas la plus simple pour s'inserer professionnellement car impression de ne pas etre  au niveau  par rapport aux camarades ayant ete en contrat de professionnalisation  Egalement un manque d'experience En fin de formation j'ai eu beaucoup de mal et j'ai toujours du mal a identifier mon projet et un poste adapte a mon profil 
Mecanique et Interactions (MI),2018,Il est aujourd'hui clair que je m'etais trompe d'orientation en integrant une ecole d'ingenieur mon profil n'est donc pas une bonne reference. Je trouve juste dommage le fait de ne pas avoir compris plus tot que ce n'etait pas pour moi. 
